name_kr,name_en,tradingview_market_code,tradingview_upbit_code,upbit_stock_code,unable_marketwidget
1인치네트워크,1inch Network,BINANCE:1INCHUSD,UPBIT:1INCHKRW,KRW-1INCH,FALSE
가스,GAS,BINANCE:GASUSD,UPBIT:GASKRW,KRW-GAS,TRUE
골렘,Golem,BINANCE:GLMUSD,UPBIT:GLMKRW,KRW-GLM,FALSE
그로스톨코인,Groestlcoin,BITTREX:GRSUSD,UPBIT:GRSKRW,KRW-GRS,FALSE
네오,NEO,BINANCE:NEOUSD,UPBIT:NEOKRW,KRW-NEO,FALSE
넴,NEM,BITTREX:XEMUSD,UPBIT:XEMKRW,KRW-XEM,TRUE
누사이퍼,Nucypher,POLONIEX:NUUSDT,UPBIT:NUKRW,KRW-NU,TRUE
니어프로토콜,NEAR Protocol,BINANCE:NEARUSD,UPBIT:NEARKRW,KRW-NEAR,FALSE
던프로토콜,Dawn Protocol,BITTREX:DAWNUSD,UPBIT:DAWNKRW,KRW-DAWN,FALSE
도지코인,Dogecoin,BINANCE:DOGEUSD,UPBIT:DOGEKRW,KRW-DOGE,FALSE
디센트럴랜드,Decentraland,BINANCE:MANAUSD,UPBIT:MANAKRW,KRW-MANA,FALSE
디카르고,dKargo,CRYPTO:DKAUSD,UPBIT:DKAKRW,KRW-DKA,TRUE
룸네트워크,Loom Network,BINANCE:LOOMUSD,UPBIT:LOOMKRW,KRW-LOOM,FALSE
리스크,Lisk,BITTREX:LSKUSD,UPBIT:LSKKRW,KRW-LSK,FALSE
리퍼리움,Refereum,HITBTC:RFRUSD,UPBIT:RFRKRW,KRW-RFR,FALSE
리플,Ripple or XRP,BITSTAMP:XRPUSD,UPBIT:XRPKRW,KRW-XRP,FALSE
메디블록,MediBloc,BITTREX:MEDUSD,UPBIT:MEDKRW,KRW-MED,FALSE
메타디움,Metadium,CRYPTO:METAUSD,UPBIT:METAKRW,KRW-META,TRUE
메탈,Metal,BITTREX:MTLUSD,UPBIT:MTLKRW,KRW-MTL,FALSE
모스코인,Moss Coin,CRYPTO:MOCUSD,UPBIT:MOCKRW,KRW-MOC,TRUE
무비블록,MovieBloc,HITBTC:MBLUSD,UPBIT:MBLKRW,KRW-MBL,FALSE
밀크,MiL.k,KUCOIN:MLKUSDT,UPBIT:MLKKRW,KRW-MLK,TRUE
베이직어텐션토큰,Basic Attention Token,BINANCE:BATUSD,UPBIT:BATKRW,KRW-BAT,FALSE
보라,BORA,OKX:BORAUSDT,UPBIT:BORAKRW,KRW-BORA,TRUE
비체인,VeChain,BINANCE:VETUSD,UPBIT:VETKRW,KRW-VET,FALSE
비트코인,Bitcoin,BITSTAMP:BTCUSD,UPBIT:BTCKRW,KRW-BTC,FALSE
