,open,high,low,close,volume,value
2022-10-16 10:48:00,27614000.0,27625000.0,27614000.0,27625000.0,1.2943113,35753282.48541
2022-10-16 10:49:00,27625000.0,27625000.0,27615000.0,27615000.0,0.64488199,17812574.81303
2022-10-16 10:50:00,27615000.0,27615000.0,27614000.0,27614000.0,0.38783488,10709930.96171
2022-10-16 10:51:00,27619000.0,27619000.0,27614000.0,27615000.0,0.48258421,13327759.87522
2022-10-16 10:52:00,27615000.0,27617000.0,27594000.0,27607000.0,1.60582146,44327435.16367
2022-10-16 10:53:00,27594000.0,27608000.0,27594000.0,27597000.0,0.23661598,6530924.79562
2022-10-16 10:54:00,27608000.0,27620000.0,27594000.0,27615000.0,2.93823526,81119535.65133
2022-10-16 10:55:00,27615000.0,27625000.0,27594000.0,27597000.0,1.67306465,46211331.67304
2022-10-16 10:56:00,27596000.0,27620000.0,27596000.0,27618000.0,0.30606574,8451264.5449
2022-10-16 10:57:00,27618000.0,27618000.0,27599000.0,27612000.0,0.11732066,3239705.97585
2022-10-16 10:58:00,27612000.0,27617000.0,27601000.0,27602000.0,0.17255413,4764602.65202
2022-10-16 10:59:00,27602000.0,27623000.0,27601000.0,27618000.0,0.47693986,13171992.67731
2022-10-16 11:00:00,27623000.0,27624000.0,27618000.0,27623000.0,0.90872719,25101166.28745
2022-10-16 11:01:00,27623000.0,27624000.0,27618000.0,27620000.0,0.97041602,26802769.08925
2022-10-16 11:02:00,27621000.0,27624000.0,27621000.0,27624000.0,0.44979741,12424956.83759
2022-10-16 11:03:00,27624000.0,27624000.0,27623000.0,27624000.0,0.86729507,23958072.14071
2022-10-16 11:04:00,27623000.0,27626000.0,27621000.0,27626000.0,0.57660348,15928216.73217
2022-10-16 11:05:00,27626000.0,27626000.0,27606000.0,27610000.0,1.63414309,45137761.05489
2022-10-16 11:06:00,27625000.0,27625000.0,27605000.0,27605000.0,1.02088796,28198350.47518
2022-10-16 11:07:00,27610000.0,27624000.0,27605000.0,27605000.0,1.11126561,30679204.58455
2022-10-16 11:08:00,27605000.0,27606000.0,27605000.0,27606000.0,0.34433426,9505488.63898
2022-10-16 11:09:00,27606000.0,27624000.0,27601000.0,27606000.0,1.3995139,38642745.30598
2022-10-16 11:10:00,27624000.0,27624000.0,27601000.0,27606000.0,0.21638033,5972651.31057
2022-10-16 11:11:00,27601000.0,27622000.0,27601000.0,27622000.0,0.21672487,5986201.26954
2022-10-16 11:12:00,27622000.0,27623000.0,27601000.0,27612000.0,0.59078689,16318407.52647
2022-10-16 11:13:00,27613000.0,27623000.0,27612000.0,27612000.0,0.59230345,16359113.7577
2022-10-16 11:14:00,27612000.0,27612000.0,27601000.0,27601000.0,0.38901238,10739621.84112
2022-10-16 11:15:00,27622000.0,27623000.0,27600000.0,27623000.0,0.84611346,23364343.85434
2022-10-16 11:16:00,27623000.0,27623000.0,27621000.0,27623000.0,0.60711676,16770094.48229
2022-10-16 11:17:00,27623000.0,27623000.0,27600000.0,27602000.0,0.49004533,13530867.42252
2022-10-16 11:18:00,27602000.0,27622000.0,27601000.0,27619000.0,0.50416631,13916246.61661
2022-10-16 11:19:00,27622000.0,27622000.0,27601000.0,27601000.0,0.61300633,16921272.65965
2022-10-16 11:20:00,27601000.0,27622000.0,27600000.0,27601000.0,0.19972762,5513808.12527
2022-10-16 11:21:00,27601000.0,27614000.0,27601000.0,27614000.0,0.34438459,9509625.05148
2022-10-16 11:22:00,27614000.0,27620000.0,27613000.0,27619000.0,0.64334785,17766065.48912
2022-10-16 11:23:00,27619000.0,27623000.0,27619000.0,27623000.0,0.86639509,23931127.94832
2022-10-16 11:24:00,27623000.0,27623000.0,27600000.0,27618000.0,1.51965834,41958815.84507
2022-10-16 11:25:00,27619000.0,27622000.0,27619000.0,27619000.0,0.34783571,9607045.07693
2022-10-16 11:26:00,27619000.0,27622000.0,27600000.0,27601000.0,1.95670483,54032497.41565
2022-10-16 11:27:00,27619000.0,27620000.0,27600000.0,27602000.0,1.30017238,35900194.72036
2022-10-16 11:28:00,27603000.0,27621000.0,27603000.0,27619000.0,0.68536881,18928931.10905
2022-10-16 11:29:00,27619000.0,27622000.0,27618000.0,27622000.0,2.93992722,81203492.30523
2022-10-16 11:30:00,27622000.0,27623000.0,27619000.0,27619000.0,2.99783999,82802781.96589
2022-10-16 11:31:00,27619000.0,27624000.0,27600000.0,27603000.0,1.11759253,30854177.02027
2022-10-16 11:32:00,27605000.0,27624000.0,27604000.0,27605000.0,0.45247809,12494741.704
2022-10-16 11:33:00,27605000.0,27625000.0,27605000.0,27624000.0,1.6031253,44281035.06561
2022-10-16 11:34:00,27624000.0,27630000.0,27624000.0,27630000.0,0.60371339,16678104.40298
2022-10-16 11:35:00,27626000.0,27631000.0,27626000.0,27627000.0,0.65774561,18171768.49042
2022-10-16 11:36:00,27630000.0,27630000.0,27624000.0,27624000.0,1.31919213,36443933.49501
2022-10-16 11:37:00,27624000.0,27625000.0,27623000.0,27624000.0,1.03922628,28707123.756
2022-10-16 11:38:00,27624000.0,27630000.0,27620000.0,27620000.0,0.66812799,18455923.98178
2022-10-16 11:39:00,27620000.0,27620000.0,27606000.0,27606000.0,1.27893986,35312799.36475
2022-10-16 11:40:00,27606000.0,27620000.0,27606000.0,27620000.0,1.16938224,32295582.58269
2022-10-16 11:41:00,27620000.0,27630000.0,27620000.0,27620000.0,1.61319446,44557571.86661
2022-10-16 11:42:00,27620000.0,27621000.0,27586000.0,27588000.0,2.0156908,55631372.66635
2022-10-16 11:43:00,27585000.0,27603000.0,27585000.0,27603000.0,0.27381827,7554117.09152
2022-10-16 11:44:00,27604000.0,27613000.0,27604000.0,27612000.0,0.30834324,8512641.72413
2022-10-16 11:45:00,27608000.0,27612000.0,27588000.0,27604000.0,0.41759101,11525324.27854
2022-10-16 11:46:00,27604000.0,27604000.0,27600000.0,27604000.0,0.30397963,8390799.33752
2022-10-16 11:47:00,27604000.0,27610000.0,27600000.0,27610000.0,0.14615954,4034662.11508
2022-10-16 11:48:00,27610000.0,27611000.0,27600000.0,27600000.0,1.06750557,29473323.15008
2022-10-16 11:49:00,27610000.0,27612000.0,27600000.0,27612000.0,0.65837253,18173071.63912
2022-10-16 11:50:00,27601000.0,27611000.0,27600000.0,27600000.0,0.26335025,7269386.07248
2022-10-16 11:51:00,27611000.0,27611000.0,27610000.0,27611000.0,0.68737959,18978989.05085
2022-10-16 11:52:00,27611000.0,27611000.0,27600000.0,27601000.0,0.6369399,17581607.22136
2022-10-16 11:53:00,27601000.0,27604000.0,27601000.0,27604000.0,0.43582935,12030372.89637
2022-10-16 11:54:00,27609000.0,27609000.0,27600000.0,27600000.0,0.72282704,19953739.91578
2022-10-16 11:55:00,27600000.0,27600000.0,27577000.0,27577000.0,2.49114591,68715371.94434
2022-10-16 11:56:00,27579000.0,27584000.0,27570000.0,27574000.0,1.17736779,32467858.30113
2022-10-16 11:57:00,27580000.0,27584000.0,27572000.0,27580000.0,0.58989686,16268777.97146
2022-10-16 11:58:00,27575000.0,27580000.0,27574000.0,27574000.0,0.86125042,23748388.84517
2022-10-16 11:59:00,27574000.0,27579000.0,27572000.0,27575000.0,0.69046664,19039524.28982
2022-10-16 12:00:00,27578000.0,27583000.0,27574000.0,27575000.0,1.05734721,29158212.22247
2022-10-16 12:01:00,27576000.0,27591000.0,27575000.0,27577000.0,0.48922912,13494094.63039
2022-10-16 12:02:00,27575000.0,27603000.0,27575000.0,27576000.0,1.43024256,39463150.76561
2022-10-16 12:03:00,27577000.0,27603000.0,27577000.0,27600000.0,0.20729329,5719880.22413
2022-10-16 12:04:00,27600000.0,27603000.0,27600000.0,27602000.0,0.45058418,12437032.60732
2022-10-16 12:05:00,27603000.0,27603000.0,27577000.0,27600000.0,0.91394121,25225761.22486
2022-10-16 12:06:00,27599000.0,27599000.0,27586000.0,27597000.0,0.25414187,7012476.66073
2022-10-16 12:07:00,27586000.0,27597000.0,27576000.0,27576000.0,0.71568259,19739068.42073
2022-10-16 12:08:00,27597000.0,27597000.0,27575000.0,27576000.0,0.36700195,10123610.26762
2022-10-16 12:09:00,27576000.0,27585000.0,27575000.0,27575000.0,0.34697921,9568519.1134
2022-10-16 12:10:00,27585000.0,27585000.0,27576000.0,27576000.0,0.16979137,4683144.67092
2022-10-16 12:11:00,27576000.0,27581000.0,27576000.0,27579000.0,0.54688794,15082877.32921
2022-10-16 12:12:00,27576000.0,27581000.0,27576000.0,27580000.0,1.56848354,43258947.85942
2022-10-16 12:13:00,27580000.0,27580000.0,27576000.0,27580000.0,0.68196246,18807712.89268
2022-10-16 12:14:00,27576000.0,27598000.0,27576000.0,27598000.0,0.14631488,4036453.20877
2022-10-16 12:15:00,27598000.0,27599000.0,27583000.0,27583000.0,0.12791349,3530122.64812
2022-10-16 12:16:00,27583000.0,27598000.0,27583000.0,27583000.0,0.53975781,14890981.54777
2022-10-16 12:17:00,27595000.0,27596000.0,27583000.0,27596000.0,0.50272968,13872078.80169
2022-10-16 12:18:00,27596000.0,27598000.0,27595000.0,27595000.0,0.19245298,5310999.04524
2022-10-16 12:19:00,27596000.0,27598000.0,27583000.0,27583000.0,0.55027213,15182934.22517
2022-10-16 12:20:00,27583000.0,27585000.0,27575000.0,27575000.0,1.01334484,27947254.6055
2022-10-16 12:21:00,27583000.0,27592000.0,27576000.0,27576000.0,0.10061156,2775258.30266
2022-10-16 12:22:00,27576000.0,27576000.0,27575000.0,27576000.0,1.38452472,38178871.34927
2022-10-16 12:23:00,27591000.0,27592000.0,27577000.0,27577000.0,0.5553024,15316462.71684
2022-10-16 12:24:00,27577000.0,27591000.0,27576000.0,27591000.0,0.6588996,18174358.19414
2022-10-16 12:25:00,27576000.0,27591000.0,27576000.0,27591000.0,0.36909053,10178616.99462
2022-10-16 12:26:00,27591000.0,27591000.0,27576000.0,27578000.0,0.04834967,1333460.47919
2022-10-16 12:27:00,27578000.0,27578000.0,27576000.0,27578000.0,0.57613684,15888542.38698
2022-10-16 12:28:00,27578000.0,27578000.0,27575000.0,27578000.0,0.06639658,1831001.83232
2022-10-16 12:29:00,27578000.0,27578000.0,27575000.0,27578000.0,0.50965205,14054548.11117
2022-10-16 12:30:00,27578000.0,27578000.0,27576000.0,27578000.0,0.21343834,5886147.01946
2022-10-16 12:31:00,27579000.0,27585000.0,27575000.0,27585000.0,1.61934959,44654841.57012
2022-10-16 12:32:00,27575000.0,27585000.0,27575000.0,27585000.0,0.05606858,1546109.2192
2022-10-16 12:33:00,27585000.0,27585000.0,27575000.0,27576000.0,1.21761922,33580544.03318
2022-10-16 12:34:00,27576000.0,27584000.0,27576000.0,27577000.0,0.16971717,4680226.05203
2022-10-16 12:35:00,27577000.0,27585000.0,27577000.0,27585000.0,0.34767312,9590080.83379
2022-10-16 12:36:00,27585000.0,27585000.0,27585000.0,27585000.0,0.18364179,5065758.77715
2022-10-16 12:37:00,27584000.0,27586000.0,27584000.0,27584000.0,0.32956709,9091068.91959
2022-10-16 12:38:00,27584000.0,27586000.0,27584000.0,27586000.0,0.17022406,4695653.47088
2022-10-16 12:39:00,27586000.0,27586000.0,27584000.0,27585000.0,0.31483288,8684696.0178
2022-10-16 12:40:00,27584000.0,27585000.0,27584000.0,27585000.0,0.31925373,8806336.9411
2022-10-16 12:41:00,27584000.0,27585000.0,27584000.0,27585000.0,0.36408604,10043210.17583
2022-10-16 12:42:00,27585000.0,27598000.0,27584000.0,27598000.0,0.55921915,15427699.87488
2022-10-16 12:43:00,27598000.0,27599000.0,27585000.0,27599000.0,0.773626,21350555.77083
2022-10-16 12:44:00,27599000.0,27603000.0,27598000.0,27603000.0,1.14130797,31503106.35053
2022-10-16 12:45:00,27603000.0,27610000.0,27603000.0,27604000.0,1.18967407,32842507.8929
2022-10-16 12:46:00,27604000.0,27611000.0,27601000.0,27602000.0,0.56443265,15581324.41309
2022-10-16 12:47:00,27601000.0,27619000.0,27600000.0,27610000.0,0.62056277,17131020.01105
2022-10-16 12:48:00,27610000.0,27620000.0,27610000.0,27610000.0,0.70416886,19442435.47121
2022-10-16 12:49:00,27610000.0,27615000.0,27600000.0,27610000.0,0.40034761,11054437.6171
2022-10-16 12:50:00,27610000.0,27622000.0,27610000.0,27622000.0,1.03322069,28530393.1853
2022-10-16 12:51:00,27610000.0,27622000.0,27600000.0,27600000.0,1.84815146,51017085.48977
2022-10-16 12:52:00,27600000.0,27620000.0,27600000.0,27601000.0,0.68652053,18954070.9183
2022-10-16 12:53:00,27601000.0,27617000.0,27600000.0,27616000.0,1.22330763,33767735.42254
