,market,korean_name,english_name
0,KRW-BTC,비트코인,Bitcoin
1,KRW-ETH,이더리움,Ethereum
2,BTC-ETH,이더리움,Ethereum
3,BTC-XRP,리플,Ripple
4,BTC-ETC,이더리움클래식,Ethereum Classic
5,BTC-OMG,오미세고,OmiseGo
6,BTC-CVC,시빅,Civic
7,BTC-DGB,디지바이트,DigiByte
8,BTC-SC,시아코인,Siacoin
9,BTC-SNT,스테이터스네트워크토큰,Status Network Token
10,BTC-WAVES,웨이브,Waves
11,BTC-NMR,뉴메레르,Numeraire
12,BTC-XEM,넴,NEM
13,BTC-QTUM,퀀텀,Qtum
14,BTC-BAT,베이직어텐션토큰,Basic Attention Token
15,BTC-LSK,리스크,Lisk
16,BTC-STEEM,스팀,Steem
17,BTC-DOGE,도지코인,Dogecoin
18,BTC-BNT,뱅코르,Bancor
19,BTC-XLM,스텔라루멘,Lumen
20,BTC-ARDR,아더,Ardor
21,BTC-ARK,아크,Ark
22,BTC-STORJ,스토리지,Storj
23,BTC-GRS,그로스톨코인,Groestlcoin
24,BTC-REP,어거,Augur
25,BTC-RLC,아이젝,iEx.ec
26,USDT-BTC,비트코인,Bitcoin
27,USDT-ETH,이더리움,Ethereum
28,USDT-XRP,리플,Ripple
29,USDT-ETC,이더리움클래식,Ethereum Classic
30,KRW-NEO,네오,NEO
31,KRW-MTL,메탈,Metal
32,KRW-XRP,리플,Ripple
33,KRW-ETC,이더리움클래식,Ethereum Classic
34,KRW-OMG,오미세고,OmiseGo
35,KRW-SNT,스테이터스네트워크토큰,Status Network Token
36,KRW-WAVES,웨이브,Waves
37,KRW-XEM,넴,NEM
38,KRW-QTUM,퀀텀,Qtum
39,KRW-LSK,리스크,Lisk
40,KRW-STEEM,스팀,Steem
41,KRW-XLM,스텔라루멘,Lumen
42,KRW-ARDR,아더,Ardor
43,KRW-ARK,아크,Ark
44,KRW-STORJ,스토리지,Storj
45,KRW-GRS,그로스톨코인,Groestlcoin
46,KRW-REP,어거,Augur
47,KRW-ADA,에이다,Ada
48,BTC-ADA,에이다,Ada
49,BTC-MANA,디센트럴랜드,Decentraland
50,USDT-OMG,오미세고,OmiseGo
51,KRW-SBD,스팀달러,SteemDollars
52,BTC-SBD,스팀달러,SteemDollars
53,KRW-POWR,파워렛저,Power ledger
54,BTC-POWR,파워렛저,Power ledger
55,KRW-BTG,비트코인골드,Bitcoin Gold
56,USDT-ADA,에이다,Ada
57,BTC-DNT,디스트릭트0x,district0x
58,BTC-ZRX,제로엑스,0x Protocol
59,BTC-TRX,트론,TRON
60,BTC-TUSD,트루USD,TrueUSD
61,BTC-LRC,루프링,Loopring
62,KRW-ICX,아이콘,Icon
63,KRW-EOS,이오스,EOS
64,USDT-TUSD,트루USD,TrueUSD
65,KRW-TRX,트론,TRON
66,BTC-POLYX,폴리매쉬,Polymesh
67,USDT-SC,시아코인,Siacoin
68,USDT-TRX,트론,TRON
69,KRW-SC,시아코인,Siacoin
70,KRW-ONT,온톨로지,Ontology
71,KRW-ZIL,질리카,Zilliqa
72,KRW-POLYX,폴리매쉬,Polymesh
73,KRW-ZRX,제로엑스,0x Protocol
74,KRW-LOOM,룸네트워크,Loom Network
75,BTC-BCH,비트코인캐시,Bitcoin Cash
76,USDT-BCH,비트코인캐시,Bitcoin Cash
77,KRW-BCH,비트코인캐시,Bitcoin Cash
78,BTC-HIFI,하이파이,Hifi Finance
79,BTC-LOOM,룸네트워크,Loom Network
80,KRW-BAT,베이직어텐션토큰,Basic Attention Token
81,KRW-IOST,아이오에스티,IOST
82,BTC-RFR,리퍼리움,Refereum
83,KRW-RFR,리퍼리움,Refereum
84,USDT-DGB,디지바이트,DigiByte
85,KRW-CVC,시빅,Civic
86,KRW-IQ,아이큐,IQ.wiki
87,KRW-IOTA,아이오타,IOTA
88,BTC-RVN,레이븐코인,Ravencoin
89,BTC-GO,고체인,GoChain
90,BTC-UPP,센티넬프로토콜,Sentinel Protocol
91,BTC-ENJ,엔진코인,Enjin
92,KRW-HIFI,하이파이,Hifi Finance
93,KRW-ONG,온톨로지가스,ONG
94,KRW-GAS,가스,GAS
95,BTC-MTL,메탈,Metal
96,KRW-UPP,센티넬프로토콜,Sentinel Protocol
97,KRW-ELF,엘프,aelf
